Unnamed: 0,review,item,sale_info,complaints,review_cleaned,sentiment
0,"Звертаюся до Розетки чи до представника бренду!
В комплекті була інструкція до іншої коси, 2-х тактної, де мені взяти інструкцію до цього товару???",Коса 2-тактна,,Нема інструкції,звертатися розетка представник бренд комплект інструкція інший коса тактної взяти інструкція товар,Negative
1,Купила собі цей чудо робот-пилосос. Задоволена на всі 100%.Свою роботу він робить відмінно. Рекомендую хто ще думає...,Робот-пилосос,,,купити чудо робот пилосос задоволений робота робити відмінно рекомендувати думати,Positive
2,"Одноразовий. Дитя папу раз його торкнувся і все пісні до кінця не грають та і нема там заявленої кількості пісень (рахувала)
",Плеєр,,"Кількість пісень не відповідає зазначеній, пісні до кінця не грають",одноразовий дитя папу торкнутися пісня кінець грати нема заявлений кількість пісня рахувала,Negative
3,"Дешеві пігулки. Якщо ніякого ефекту не буде - не шкода грошей. Прийшло все закрите і запаяне плівкою. До того ж сама кришка з пломбою.
",Пігулки,Дешеві ,Товар прийшов запаяний плівкою та з пломбою на кришці,дешевий пігулка ніякий ефект шкода гроші прийти закритий запаяний плівка кришка пломба,Neutral
4,"Отримала сьогодні тискомір не той що замовила?!Коли передзвонила ,то мене ще звинуватили ,що не вмію з ним працювати.Люди не купляйтесь на таких продавців ,що обманюють людей?!
",Тискомір,,"Клієнтка отримала не те товари, що замовила. Продавці звинуватили клієнтку, що вона не вміє користуватися товаром. Клієнтка зазначила, що продавці обманюють покупців.",отримати тискомір передзвонити звинуватити вміти працювати люда купляйтесь такий продавець обманювати людина,Negative
5,"Проблема тонкої обкладинки вирішується цупкою обгорткою або можна накласти ще одну, вже підписану з іншого зошита.
",Обгортка для зошита,,Тонка обкладинка,проблема тонкий обкладинка вирішуватися цупкий обгортка накласти одну підписаний інший зошит,Neutral
6,"Почав встановлювати, а мийка вигнута дугою. По краях лежить ідеально на столешні, а посередині щілина майже в півсантиметри. Як так???
",Мийка,,Мійка вигнута дугою та має щілину в середині,почати встановлювати мийка вигнутий дуга край лежати ідеально столешні посередині щілина півсантиметри,Negative
7,"Порадив придбати лікар-ортодонт для ополіскування ротової порожнини після чищення зубів (встановлені брекети). Ополіскувач видаляє бактерії, з якими не впоралася зубна паста. Результатом задоволена і я і лікар-ортодонт. Все супер
",Ополіскувач,,,порадити придбати лікар ортодонт ополіскування ротовий порожнина чищення зуб встановлений брекети ополіскувач видаляти бактерія який впоратися зубний паста результат задоволений лікар ортодонт супер,Positive
8,"Ручка обламалась на першій свічці.
виймаєш вороток, а головка залишається в свічці яку не викрутити бо ручка обломана
",Свічка,,"Ручка обламалась на першій свічці, виймаєш вороток, а головка залишається в свічці, яку не викрутити бо ручка обломана",ручка обламатися перший свічка виймати вороток головка залишатися свічка який викрутити ручка обломана,Negative
9,"У мене автомобіль КІА з салону стояв акумулятор виробництва Solite і він пропрацював рівно десять років. Кращої реклами неможливо придумати.
",Акумулятор Solite для автомобіля КІА,,,автомобіль кіа салон стояти акумулятор виробництво solite пропрацювати рівно кращий реклама неможливо придумати,Positive
20,"Гарна подарункова коробка) Люблю трав'яніий збір, тож мені є чим смакувати. А решта... квіточки, шипшина, плоди.... шось не дуже.
Але чашка наче не фарбується, тож думаю, натуральні барвники
",Подарункова коробка,,"Квіточки, шипшина, плоди не дуже сподобались, можливо через ненатуральні барвники",гарний подарунковий коробка любити збір тож смакувати решта квіточка шипшина плід шось чашка наче фарбуватися тож думати натуральний барвник,Neutral
21,Молочко просто чудове. на розетці мабуть найнижча ціла. у нас в аптеках на 35% дорожче.,Молочко,Дешеве,,молочко чудовий розетка мабуть найнижчий цілий аптека дорожче,Positive
22,"Ми з цього пюре розпочали прикорм, дуже гарний склад, консистенція, і якість. Синочок був в захваті.
",Пюре,,,пюре розпочати прикорм гарний склад консистенція якість синочок захват,Positive
23,"Недостатньо інформації про контрольний розчин. Якщо його перевірити на апараті і він показує якусь цифру, то з якою цифрою цей показник порівнювати? Хочеться побачити відповідь.
",Контрольний розчин,,Недостатньо інформації про контрольний розчин,недостатньо інформація контрольний розчин перевірити апарат показувати якийсь цифра який цифра показник порівнювати хотітися побачити відповідь,Neutral
24,"Мені зовсім не сподобались. Дуже гнуться і тому ними не зручно працювати. В продажі по 4 пачки, що з ними тепер робити? Не рекомендую.",,,"Незручність у використанні, погана якість",сподобатися гнутися зручно працювати продажа пачка робити рекомендувати,Negative
25,"Купив дані розетки на всю квартиру, і через місяць пластик що всередині пожовтів, тепер рамка відрізняється за кольором
",Розетки,,Колір пластику на розетках пожовтілий,купити дані розетка квартира місяць пластик всередині пожовтів рамка відрізнятися колір,Negative
26,"Завжди купую Lovare. Чай дуже смачний, давно хотіла таку чашку. Низька ціна за набір, що радує. Рекомендую.
",Lovare чай,Низька ціна,,купувати lovare чай смачний хотіти такий чашка низький ціна набір радувати рекомендувати,Positive
27,"Не синхронізуються. Всі методи які існують були перевірені. Але так нічого не помогло. Кожен працює як окремий гаджет.
",,,Не синхронізуються,синхронізуються метод існувати перевірений помогти працювати окремий гаджет,Negative
28,"Дизайн - космос. Якість - супер. З додатком не так все просто. Постійно гріє воду, якщо не скористався після увімкнення.
",,,"Постійно гріє воду, якщо не скористався після увімкнення.",дизайн космос якість супер додаток постійно гріти вода скористатися увімкнення,Positive
29,"Вмерла через два місяці... Приймач дуже гріється у будь якому ПК та не детектиться. Пишу на обмін.
",Пристрій зберігання даних,,"Виникли проблеми з приймачем, який гріється та не детектується в будь-якому ПК. Продавець informeed про проблему та пропонує на обмін.",вмерти місяць приймач грітися який пк детектиться писати обмін,Negative
30,"Купили по акції і купились на crema , висновки:пінка не дуже зразу осідає,і смак в порівнянні з іншими ambassador для мене ця найгірша
",Кава,Акція,"Не дуже зразу осідає піна, смак гірший",купити акція купились crema висновок пінка зразу осідати смак порівняння інший ambassador найгірший,Negative
31,"Прийшло замовлення оперативно, але не зовсім те що на фото. Відсутня скамья Скотта. Навіть в інструкції її нема. Куди можна звернутися, щоб вирішити цю проблему
",Меблі,,"Відсутня скамья Скотта, про яку було на фото",прийти замовлення оперативно фото відсутній скамья скотта інструкція нема звернутися вирішити проблема,Negative
32,"За таку ціну (особливо зі знижкою!) - добра кава: запашна, м""яка, насичена, але не для любителів міцної кави
",Кава,знижка,,такий ціна знижка добрий кава запашний насичений любитель міцний кава,Positive
34,"Особливого вау ефекту не помітила. Дитина п'є, коли хоче пити. Спокійнішою не стала. Звичайний чай швидкого приготування, який нічим не відрізняється від аптечної ромашки,але слабенької концентрації.
",Чай ромашковий,,Неефективність продукту,особливий вау ефект помітити дитина хотіти пити спокійніший стати звичайний чай швидкий приготування ніщо відрізнятися аптечний ромашка слабенький концентрація,Neutral
35,"підключався монітор VGA до ПК, перечитавши відгуки, дійсно HDMI не до кінця входить у роз'єм відеокарти, пласкогубцями відігнув метал зверху над роз'ємом і ввійшло до кінця. Запрацювало зразу без проблем
",Відеомонітор VGA,,,підключався монітор vga пк перечитавши відгук hdmi кінець входити відеокарта пласкогубцями відігнути метал зверху ввійти кінець запрацювати зразу проблема,Neutral
36,"Через невірно вказані на сайті габарити вимушені були повернути, бо автомат не влазить в двері санвузла. Продавець не довольний і потребує оплатити послуги доставки. Це нормально?
",Товар для санвузла,,"Невірно вказані габарити, вимога оплатити послуги доставки",невірно вказаний сайт габарит вимушений повернути автомат влазить двері санвузла продавець довольний потребувати оплатити послуга доставка нормально,Negative
37,"Чомусь дитині не зайшло, на смак майже ніяке. Хоча склад ніби ок, і солодкого дитина не куштувала взагалі
",,,Смак поганий,чомусь дитина зайти смак ніяке склад ок солодкий дитина куштувати взагалі,Negative
38,"Куплені 29.11.2021 року. Вже один навушник не тримає заряд, розряджається й вимикається буквально за кілька хвилин після діставання з футляра. От і кінець історії",Навушники,,Навушник не тримає заряд,куплений навушник тримати заряд розряджатися вимикатися буквально хвилина діставання футляр от кінець історія,Negative
39,"Підключав з ноута до телевізора. І фільми, і ігри ідуть на ура. Зображення чітке, звук є. Розширення ноута: 1920x1080 (Full HD)",,,,підключати ноут телевізор фільм гра іти ура зображення чіткий звук розширення ноута full hd,Positive
40,"Гарна праска з повним функціоналом та керамічним покриттям підошви за невеликі гроші. Брендові Філіпси та Тефаль аналогічні за потужністю та функціоналом - в кілька разів дорожче.
",Праска,Дешева,,гарний праска повний функціонал керамічний покриття підошва невеликий гроші брендовий філіпси тефаль аналогічний потужність функціонал раз дорожче,Positive
41,"При включенні просто чорний екран, пише що тип сигналу не сумісний, перевірив ще на 2 моніторах і на різних пристроях: відеокарти, т2 тюнери. Результат такий самий. Не працює.",Пристрій для підключення монітора,,Пристрій не сумісний з моніторами та відеокартю/т2 тюнером.,включення чорний екран писати тип сигнал сумісний перевірити монітор різний пристрій відеокарта тюнер результат самий працювати,Negative
42,"Брали на подарунок, коробки пом'яті, наклейки порвані, неакуратно виглядали. Стосовно самого чаю - очікували більшого. Аромат ледь відчутний, смаку майже нема. Все-таки розсипний чай смачніше ніж пакетований
",Чай,,"Коробки пом'яті, наклейки порвані, чай з малим ароматом та смаком.",брати подарунок коробка наклейка порваний неакуратно виглядати стосовно чай очікувати більший аромат ледь відчутний смак нема таки розсипний чай смачніше пакетований,Negative
43,"Пропрацював неповний тиждень і накрився, спочатку показувало все прекрасно, але потім почало показувати три різнокольорові зображення віддільно. Після вимкнення комп‘ютера при повторному під‘єднанні і перестало виводити зображення взагалі ",Монітор,,Зображення не відображаються після повторного підключення після вимкнення комп'ютера,пропрацювати неповний тиждень накритися показувати прекрасно почало показувати різнокольоровий зображення віддільно вимкнення повторний перестати виводити зображення взагалі,Negative
44,"Памперси українського виробництва. Взагальному нормальні, але польського виробництва плотніші та грубші. Тому більше замовляти не буду.
",Памперси,,,памперс український виробництво взагальному нормальний польський виробництво плотніші грубші замовляти,Neutral
45,"Пропрацював рівно день і здох, підозрюю що через адаптер живлення він у мене 65w а на одному з фото пише що максимум 60, але до того працював добре",Адаптер живлення ноутбука,,,пропрацювати рівно здох підозрювати адаптер живлення одному фото писати максимум працювати,Negative
46,"Користуюсь тиждень. Непогана мишка за свої гроші. Для того, щоб налаштувати під себе, скачайте додаток з сайту підтримки.
",Мишка,,,користуватися тиждень непоганий мишка гроші налаштувати скачати додаток сайт підтримка,Positive
47,"Щоб гарно було чути, потрібно мікрофон наближати до самого рота, інакше - сторонні звуки і гірший звук
",Мікрофон,,"Сторонні звуки, гірший звук",гарно чути мікрофон наближати рот інакше сторонній звук гірший звук,Neutral
48,"Купив собі. Пробував на авто зривати . то зірвав без проблем і затянув. Як для себе буде норм, а от для СТО то мабудь невитримає.
",Ключ для авто,,,купити пробувати авто зривати зірвати проблема затянув норма от сто мабудь невитримає,Neutral
49,"Купила для своєї бабусі у літню кухню. Дуже швидко прогріла приміщення і приємно порадувала варильна поверхня, на якій змогли приготувати їжу. Дякую за швидку доставку і якісну продукцію.
",Піч,,,купити бабуся літній кухня швидко прогріти приміщення приємно порадувати варильний поверхня змогти приготувати їжа швидкий доставка якісний продукція,Positive
50,"Брав 2 штуки, на сім'ю з 5 чоловік, пів року політ нормальний, заряджаються раз в 3-4 тижні. Функціонал задоволений на всі 100%",,,,брати штука чоловік пів політ нормальний заряджаються тиждень функціонал задоволений,Positive
51,"витяжка мені подобається. всі характеристики відповідають опису. зручно наявність таймера, з його допомогою тепер контролюю процес приготування, двигун мощний але не гулкий. однозначно вартий уваги варіант!
",Витяжка,,,витяжка подобатися характеристика відповідати опис зручно наявність таймер допомога контролювати процес приготування двигун мощний гулкий однозначно вартий увага варіант,Positive
52,"Дуже хороші пелюшки,гарно впитують і скоро сохнуть,не збиваються в одну сторону,ідеально підходять для малюків. Однозначно рекомендую ! ",Пелюшки,,,хороший пелюшка гарно впитують скоро сохнути збиватися один сторона ідеально підходити малюк однозначно рекомендувати,Positive
53,"Мій коментар субєкнийвний:
Глючить мало, є затримки але несуттєві.
Пульт зручний, легко керувати.
Думаю це нормальна річ за свої гроші, як для хорошого китайського бренда.
",Пульт,,Несуттєві затримки,коментар субєкнийвний глючити затримка несуттєвий пульт зручний легко керувати думати нормальний річ гроші хороший китайський бренд,Neutral
54,"Взагалі для такого виробу у нього гарна ціна,простий у користуванні,мобільний. Якби була б трішки довша штанга розприскувача.
",Виріб для чищення,,Трішки мала штанга розприскувача,взагалі такий виріб гарний ціна простий користування мобільний якби трішки довший штанга розприскувач,Positive
55,"Не дає оцінити товар бракований розпилювач, тупо цвіркає струменем, а не розпилює, менше ніж за два тижні користування флакона 50мл як не бувало((",Розпилювач,,Розпилювач бракований,давати оцінити товар бракований розпилювач тупо цвіркати струмінь розпилювати тиждень користування флакон бувати,Negative
56,"Дуже задоволена цими трусиками памперси, вони зручні не залишають слідів на дитячому тілі. Добре виконують свою функцію, спимо в них цілу ніч, ні разу нам не протекли. Рекомендую.
Швидка доставка
",Памперси,,,задоволений трусиками памперс зручний залишати слід дитячий тіло виконувати функція спати цілий ніч протекти рекомендувати швидкий доставка,Positive
57,"При роботі штроборізом 25% пилу не всмоктує. Під час чищення салону автомобіля, результат половинчастий. Обичний побутовий пилосос вичистив набагато краще.",Пилосос,,Не всмоктує 25% пилу та результат чищення салону автомобіля не задовільний,робота штроборізом пил всмоктувати чищення салон автомобіль результат половинчастий обичний побутовий пилосос вичистити набагато,Negative
58,"Кабель працює, флешку телефон бачить. Роз'єми при цьому дуже жорсткі - для підключення/відключення що флешки, що телефона потрібно прикладати значні зусилля.
",,,Незручні жорсткі роз'єми,кабель працювати флешка телефон бачити жорсткий підключення відключення флешка телефон прикладати значний зусилля,Neutral
59,Товар дуже не якісний з 50 дисків жодного не вдалось записати нормально. Не рекомендую цей товар,Диски,,Неякісний,товар якісний диск жодний вдатися записати нормально рекомендувати товар,Negative
60,"Не купуйте і НІКОЛИ не пийте ЦЕ. Біля віскі ця бурда навіть порят не стояла.
",Віскі,,Неякісний,купувати пити віскі бурда порят стояти,Negative
61,"Купили цю витяжку півроку тому. Я в декреті, будинки постійно, багато готую і запах і задуха стояли на всю квартиру, ця витяжка впоралася з усім! Дуже задоволена, хоча і шумить.
",Витяжка,,,купити витяжка піврік декрет будинок постійно готувати запах задуха стояти квартира витяжка впоратися задоволений шуміти,Positive
62,"Як на мене завеликий отвір, куди дитина сідає. У мене хлопчина маленький на свої 3 роки і попою майже дістає дна. Не дуже приємно, але все індивідуально)",Крісло для дитини,,Висота отвору для сидіння завелика,завеликий отвір дитина сідати хлопчина маленький попою діставати дно приємно індивідуально,Negative
63,Якби знала що вони такі тонюсіньки то не купила б.За 115гр. можна купити кращі .,,Дорого,Недостатня якість,якби знати тонюсіньки купити купити кращий,Negative
64,"Купив дівчині на 14-е лютого, виявились не робочими, кейс просто показує індикатор підключення, жоден пристрій їх не бачить.",Навушники,,Не працюють,купити дівчина лютий виявитися робочий кейс показувати індикатор підключення жодний пристрій бачити,Negative
65,"Загалом посередня каністра. Купував таких чотири штуки. Дві не пропускають запах бензину, дві пропускають. Тому тут як пощастить. Комплектна лійка незручна, бензин протікає. Розмір і форма зручна.
",Каністра для бензину,,"Незручна лійка, бензин протікає",загалом посередній каністра купувати такий штука пропускати запах бензин пропускати пощастити комплектний лійка незручний бензин протікати розмір форма зручний,Neutral
66,"Наволочки:білі з часом покриття скручується.Розлито було сік червоний,пятно залишилось.
Не приємно на самій наволочці спати.Хрустить.
Х.б і ця це два різних відчуття.
",Наволочки,,Неприємні для сну,наволочка білий час покриття скручуватися розлити сік червоний пятно залишитися приємно наволочка спати хрустіти різний відчуття,Negative
67,"Світло-каштанова фарбує темно-коричневим, я б сказала майже чорним. Тримається на волосах тиждень, на шкірі до двух днів.
",Фарба для волосся,,"Неправильний колір, нестійка фарба",світло каштановий фарбувати темно коричневий чорний триматися волос тиждень шкіра двух день,Negative
68,"Не вартує таких коштів...,не акуратно литий...,з однієї сторони пластмаса жовта...,а як працювати буде,побачимо...,не повертала,бо дома до ока впало,що там брак.
",,,Бракований товар,вартувати такий коштів акуратно литий сторона пластмаса жовтий працювати побачити повертала дома ока впасти брак,Negative
69,"Заказувала 30 липня, світить чудово освічує всю кімнату. Через пару днів після покупки сам почав включатися не дуже комфортно постійно треба включати його.",Світильник,,Виключається,заказувала липень світити чудово освічувати кімната пара день покупка почати включатися комфортно постійно включати,Neutral
70,"раз на рік купую дитині ці навушники. Так, як їх закручують вузлами - не кожні витримають
",Навушники,,,купувати дитина навушник закручувати вузол витримають,Positive
71,"Отримала, і засмутилася, на великій сильно заїдає блискавка, на сумці яка найважливіша, я не знаю чи доживе вона до пологового. ",Сумка,,Блискавка заїдає,отримати засмутитися великий сильно заїдати блискавка сумка найважливіший знати дожити пологовий,Negative
72,"Нажаль при замовленні двох одиниць для однієй не було картонових вставочок в пакуванні. Через це не дуже гарно тримає форму.
",,,Погано тримає форму,нажаль замовлення одиниця однієй картоновий вставочка пакування гарно тримати форма,Negative
73,"Приємний аромат: не різкий, легкий. Як на мене, то це унісекс: інколи сама каристуюся ))). Єдиний мінус (для мене) - нестійкий... Покупкою задоволена але повну версію брати не буду...
",Парфюм,,Нестійкий аромат,приємний аромат різкий легкий унісекс інколи каристуюся єдиний мінус нестійкий покупка задоволений повний версія брати,Neutral
74,"клавіатура не погано друкує, кнопки і все інше зроблено добре і є светодіот для Caps l. крім пробілу він зроблений криво, як завжди в бочці меду є ложка дьогтю
",Клавіатура,,Погана кнопка пробілу,клавіатура погано друкувати кнопка зробити светодіот caps пробіл зроблений криво бочка мед ложка дьогтю,Neutral
75,"Стильний блендер, достатньо потужний та навіть з запасом, подрібнює та взбиває усе. Простий у користуванні, працює чудово. Користуємося 3 місяці.",Блендер,,,стильний блендер достатньо потужний запас подрібнювати взбиває простий користування працювати чудово користуватися місяць,Positive
76,"Легко було налаштувати , та україно мовний застосунок можна оновлювати роутер дивитися хто підключений , та швидкість інтернету дуже добре
",Роутер,,,легко налаштувати україна мовний застосунок оновлювати роутер дивитися підключений швидкість інтернет,Positive
77,"Туш жахлива!!!! Осипається, віт такої щіточки вії в різні сторони стирчать.
Важко змивається.
Наносити потрібно в 3 слої, щоб більш менш нормально виглядали.
Не рекомендую!!",Туш,,Туш неякісна,туш жахливий осипатися віт такий щіточка вія різний сторона стирчати важко змиватися наносити слої нормально виглядати рекомендувати,Negative
78,"Дуже дивно, що на комп""ютері та ноуті вай-фай не виставляється. а на планшеті - є
",,,На комп'ютері та ноутбуці вай-фай не виставляється,дивно ноуті вай фай виставлятися планшет,Negative
79,"Поки що тільки одну вкрутив, світить добре але видає не гучний але помітний гул, димер не використовується.
",Вентилятор,,"Має помітний гул, димер не використовується",один вкрутити світити видавати гучний помітний гул димер використовуватися,Neutral
